Local Time,Demand
21Jan2023 16:00:00,"24,287"
21Jan2023 17:00:00,"25,443"
21Jan2023 18:00:00,"28,057"
21Jan2023 19:00:00,"30,994"
21Jan2023 20:00:00,"31,913"
21Jan2023 21:00:00,"31,467"
21Jan2023 22:00:00,"31,026"
21Jan2023 23:00:00,"30,351"
22Jan2023 0:00:00,"29,548"
22Jan2023 1:00:00,"28,378"
22Jan2023 2:00:00,"27,423"
22Jan2023 3:00:00,"26,461"
22Jan2023 4:00:00,"25,997"
22Jan2023 5:00:00,"25,877"
22Jan2023 6:00:00,"26,085"
22Jan2023 7:00:00,"26,654"
22Jan2023 8:00:00,"27,591"
22Jan2023 9:00:00,"28,228"
22Jan2023 10:00:00,"27,851"
22Jan2023 11:00:00,"26,744"
22Jan2023 12:00:00,"26,062"
22Jan2023 13:00:00,"24,506"
22Jan2023 14:00:00,"24,045"
22Jan2023 15:00:00,"24,205"
22Jan2023 16:00:00,"24,296"
22Jan2023 17:00:00,"25,426"
22Jan2023 18:00:00,"28,062"
22Jan2023 19:00:00,"30,971"
22Jan2023 20:00:00,"31,836"
22Jan2023 21:00:00,"31,908"
22Jan2023 22:00:00,"31,193"
22Jan2023 23:00:00,"30,284"
23Jan2023 0:00:00,"28,632"
23Jan2023 1:00:00,"27,338"
23Jan2023 2:00:00,"26,173"
23Jan2023 3:00:00,"25,955"
23Jan2023 4:00:00,"26,060"
23Jan2023 5:00:00,"25,971"
23Jan2023 6:00:00,"26,640"
23Jan2023 7:00:00,"28,708"
23Jan2023 8:00:00,"31,476"
23Jan2023 9:00:00,"32,798"
23Jan2023 10:00:00,"31,843"
23Jan2023 11:00:00,"30,486"
23Jan2023 12:00:00,"29,360"
23Jan2023 13:00:00,"28,615"
23Jan2023 14:00:00,"28,236"
23Jan2023 15:00:00,"27,605"
23Jan2023 16:00:00,"27,066"
23Jan2023 17:00:00,"27,949"
23Jan2023 18:00:00,"30,523"
23Jan2023 19:00:00,"33,466"
23Jan2023 20:00:00,"34,146"
23Jan2023 21:00:00,"33,712"
23Jan2023 22:00:00,"32,963"
23Jan2023 23:00:00,"31,760"
24Jan2023 0:00:00,"29,988"
24Jan2023 1:00:00,"28,405"
24Jan2023 2:00:00,"27,285"
24Jan2023 3:00:00,"26,525"
24Jan2023 4:00:00,"26,293"
24Jan2023 5:00:00,"27,028"
24Jan2023 6:00:00,"27,837"
24Jan2023 7:00:00,"29,311"
24Jan2023 8:00:00,"32,357"
24Jan2023 9:00:00,"33,715"
24Jan2023 10:00:00,"32,376"
24Jan2023 11:00:00,"30,262"
24Jan2023 12:00:00,"28,813"
24Jan2023 13:00:00,"28,219"
24Jan2023 14:00:00,"27,655"
24Jan2023 15:00:00,"27,727"
24Jan2023 16:00:00,"27,365"
24Jan2023 17:00:00,"28,106"
24Jan2023 18:00:00,"30,351"
24Jan2023 19:00:00,"33,081"
24Jan2023 20:00:00,"33,800"
24Jan2023 21:00:00,"33,317"
24Jan2023 22:00:00,"32,626"
24Jan2023 23:00:00,"31,410"
25Jan2023 0:00:00,"29,666"
25Jan2023 1:00:00,"28,187"
25Jan2023 2:00:00,"26,911"
25Jan2023 3:00:00,"26,466"
25Jan2023 4:00:00,"26,164"
